ID,ID2,GMT_DATE,StudySite,Site,Year,Stage,julian,primeRdRast,SecondRdRast,Open,Decid,Water,Pine,Mix,Shrub,dist_edge,Dist_Access,Dist_Private,total_dist,mean_dist,mean_speed,roost_dist,age,Age,Year_Status,sur,Status,Death,Death_Date,Area50,Area99,dist_core
46238,GA46238,3/1/2017,GA,CC,2017,Pre_Hunt,0,958.4750775,200.7200045,138.6065572,10.50423704,827.1103099,71.27661109,191.9816944,100.125278,225.9582786,1073.153359,108.754633,4732.119199,364.0091692,315.4746133,2513.625856,2,A,Harvested,0,Live,Harvested,4/20/2017,49.8902766,451.8762955,77.07237682
46238,GA46238,3/2/2017,GA,CC,2017,Pre_Hunt,1,606.7943953,146.3894409,135.9354016,51.45212434,537.0351551,39.20516569,225.5721076,166.8267502,143.408555,561.6652252,208.9525415,5318.416614,409.1089703,354.5611076,2590.286401,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,343.9549455
46238,GA46238,3/3/2017,GA,CC,2017,Pre_Hunt,2,977.1651569,149.8578424,238.2934434,8.672734351,1204.905802,47.31811234,187.6985789,227.1237626,194.9540274,963.5093557,410.5309452,3304.28194,206.5176212,220.2854626,130.3186151,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,42.05272395
46238,GA46238,3/4/2017,GA,CC,2017,Pre_Hunt,3,927.3408761,210.4320987,215.8432395,13.08022059,1176.310575,60.02580454,212.7529855,197.6818002,201.2329924,895.5671123,345.3156075,3837.87964,225.7576259,255.8586426,445.725848,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,38.76449231
46238,GA46238,3/5/2017,GA,CC,2017,Pre_Hunt,4,793.7910653,138.0075716,127.303143,5.81952217,657.3463534,86.24804425,154.6141203,119.7281338,308.2467226,732.7336473,172.8395887,4215.889592,324.2991994,281.0593061,2021.705272,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,50.06927159
46238,GA46238,3/6/2017,GA,CC,2017,Pre_Hunt,5,629.4695982,253.2285229,152.0634516,0.189922291,606.6477038,92.130215,168.6393901,123.8129228,214.320876,762.2664537,120.9947585,3280.604869,273.3837391,218.7069913,2835.91428,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,229.0928549
46238,GA46238,3/7/2017,GA,CC,2017,Pre_Hunt,6,921.0826333,296.6708736,135.3132284,1.260095881,1060.123339,112.6043543,230.8085384,106.9260466,283.1165176,1340.369675,118.929795,3415.550737,243.9679098,227.7033825,1063.669331,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,92.94777655
46238,GA46238,3/8/2017,GA,CC,2017,Pre_Hunt,7,755.5207649,214.1011334,104.09236,8.869638567,633.066412,66.64992022,210.3555126,106.431741,169.2109523,843.8803188,138.0895719,4947.371018,380.5670014,329.8247345,2573.83042,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,135.2683785
46238,GA46238,3/9/2017,GA,CC,2017,Pre_Hunt,8,780.0276521,260.752886,187.5580665,3.722883671,860.5910229,67.94971921,111.4199428,154.8463718,183.1498503,1085.417713,107.7221545,5334.909618,313.8182128,355.6606412,3393.519934,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,24.76704865
46238,GA46238,3/10/2017,GA,CC,2017,Pre_Hunt,9,960.7781916,233.2895188,160.2522825,2.977583896,1182.065491,82.74530291,231.6713159,140.7543974,225.5289238,1293.679783,220.9636571,3683.777372,230.2360857,245.5851581,1020.83458,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,10.7887272
46238,GA46238,3/11/2017,GA,CC,2017,Pre_Hunt,10,1051.324032,197.3756241,115.1490319,1.647821023,738.7216348,113.4314342,194.148413,72.68077399,257.8734609,1161.108225,77.14554826,2567.59717,160.4748231,171.1731447,51.57215076,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,0
46238,GA46238,3/12/2017,GA,CC,2017,Pre_Hunt,11,906.1709326,179.8268041,107.1091861,5.729285247,545.1297167,113.1281437,148.2097168,75.43140946,194.9158309,1118.909024,44.20458557,3155.102707,210.3401804,210.3401804,1028.117388,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,20.72296328
46238,GA46238,3/13/2017,GA,CC,2017,Pre_Hunt,12,965.752567,225.779365,59.80188648,5.951505101,1055.817698,59.91409834,319.3801485,48.98398786,203.7377641,1894.462238,2.183588535,2861.288215,190.7525476,190.7525476,448.2049006,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,298.9548481
46238,GA46238,3/14/2017,GA,CC,2017,Pre_Hunt,13,726.4714097,239.9288668,213.3699205,16.03367616,931.111822,51.43418586,100.608864,181.5841565,263.2255723,1133.16565,192.5078533,4280.829136,305.7735097,285.3886091,1436.172183,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,92.69947387
46238,GA46238,3/15/2017,GA,CC,2017,Pre_Hunt,14,673.0199145,152.572306,79.83887332,4.734199909,113.2414307,141.4654135,243.0285851,75.72003779,169.0187232,1281.78142,0,1766.722922,103.9248777,117.7815281,279.9831133,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,246.4404774
46238,GA46238,3/16/2017,GA,CC,2017,Pre_Hunt,15,670.0945483,171.9663926,126.7171658,5.813373863,500.2071124,122.9453455,133.4053994,69.55843496,217.4940437,839.6391779,113.8607119,4561.563839,285.09774,304.104256,1269.93079,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,25.87456142
46238,GA46238,3/17/2017,GA,CC,2017,Pre_Hunt,16,839.5728257,131.9130848,67.87874294,5.417305454,706.8756307,79.58771755,155.2993673,93.32595384,129.2866417,1272.894801,43.34352759,4285.066349,329.6204884,285.6710899,1223.413651,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,193.6490478
46238,GA46238,3/18/2017,GA,CC,2017,Pre_Hunt,17,748.3116919,127.9120159,95.19349183,7.572890423,427.0184991,135.0184998,180.1108319,78.19417938,231.0619973,904.8381263,60.99408674,3339.314356,256.8703351,222.6209571,633.2056696,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,22.86315835
46238,GA46238,3/19/2017,GA,CC,2017,Pre_Hunt,18,500.08564,166.3579306,154.369608,15.54123643,491.7166569,42.81505721,108.6545803,178.8490544,220.7652151,454.5145458,356.7727127,3899.754683,229.3973343,259.9836456,892.8502739,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,181.3210531
46238,GA46238,3/20/2017,GA,CC,2017,Pre_Hunt,19,1059.324085,287.905283,119.0355976,11.87176209,846.3343726,80.48059593,172.4193652,99.71049982,301.2634313,1010.230529,213.6654913,3130.72417,208.7149447,208.7149447,479.0130973,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,104.7074454
46238,GA46238,3/21/2017,GA,CC,2017,Pre_Hunt,20,426.6247685,144.538647,112.7812831,2.321953106,400.88293,82.74878877,137.8385283,107.8835665,125.3810352,396.1383318,169.6077413,2877.174625,179.823414,191.8116416,426.6270322,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,77.65686869
46238,GA46238,3/22/2017,GA,CC,2017,Pre_Hunt,21,484.8074592,132.1674801,103.5120798,10.64285836,483.519495,52.20128911,132.0501402,127.9371538,165.4435962,607.619085,177.5645756,5029.613481,419.1344568,335.3075654,1878.904323,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,87.27926251
46238,GA46238,3/23/2017,GA,CC,2017,Pre_Hunt,22,567.3317903,239.7684585,166.3305481,6.800369318,659.8743558,47.48869552,157.3807625,167.7174477,164.9984217,792.9804141,94.85398811,4301.511308,286.7674205,286.7674205,2671.465714,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,90.91931311
46238,GA46238,3/24/2017,GA,CC,2017,Pre_Hunt,23,669.6748285,191.3673942,138.9461485,7.217934376,579.1559564,45.24113561,225.4249964,121.9912089,177.0512974,594.9863413,144.4764947,2645.792651,188.9851894,176.3861767,560.6714102,2,A,Harvested,,Live,Harvested,4/20/2017,49.8902766,451.8762955,16.59214716
46238,GA46238,3/25/2017,GA,CC,2017,Hunt,24,543.8720802,156.1316175,179.6470634,14.05019722,492.5479327,55.71443264,113.3215528,163.5036483,135.3311693,771.901853,55.51406499,4305.729042,269.1080652,287.0486028,1670.141291,2,A,Harvested,,Live,Harvested,4/20/2017,62.2083591,627.8332341,403.1412201
46238,GA46238,3/26/2017,GA,CC,2017,Hunt,25,455.6133414,121.8933446,88.44679765,4.827004641,652.1927064,93.18803611,175.4134951,88.48768948,53.98706547,790.3355333,24.45827166,3664.896784,215.5821638,244.3264523,2543.194618,2,A,Harvested,,Live,Harvested,4/20/2017,62.2083591,627.8332341,101.6143739
46238,GA46238,3/27/2017,GA,CC,2017,Hunt,26,819.5760262,203.7632207,138.580517,2.898393696,908.8513014,136.0751411,214.0432389,80.67565671,274.5052489,1094.796511,139.6817468,4897.158538,489.7158538,326.4772359,2595.427935,2,A,Harvested,,Live,Harvested,4/20/2017,62.2083591,627.8332341,229.5577936
46238,GA46238,3/28/2017,GA,CC,2017,Hunt,27,379.5301986,134.1896188,106.8267491,6.670937416,454.5415264,96.59145881,186.2917344,93.22810985,52.42245221,539.9401122,51.60463095,3035.613828,216.8295591,202.3742552,815.5565401,2,A,Harvested,,Live,Harvested,4/20/2017,62.2083591,627.8332341,115.2038814
