ID2,ID,fday,lday,Site,Year,Stage,julian,Age,Year_Status,Death,Survival
131,"[131,Intercept]",3/1/2014,4/12/2014,Webb,2014,2Hunt,41,A,Harvested,Harvested,0
143,"[143,Intercept]",3/1/2014,3/29/2014,Webb,2014,1Pre_Hunt,27,A,Harvested,Harvested,0
46113,"[46113,Intercept]",3/1/2017,3/16/2017,Webb,2017,1Pre_Hunt,14,A,Harvested,Harvested,0
60011,"[60011,Intercept]",3/1/2015,4/1/2015,Webb,2015,1Pre_Hunt,30,A,Harvested,Harvested,0
60117,"[60117,Intercept]",3/1/2015,5/1/2015,Webb,2015,2Hunt,60,A,Harvested,Harvested,0
60121,"[60121,Intercept]",3/1/2015,4/1/2015,Webb,2015,1Pre_Hunt,30,A,Harvested,Harvested,0
60123,"[60123,Intercept]",3/1/2015,4/16/2015,Webb,2015,2Hunt,45,A,Harvested,Harvested,0
60125,"[60125,Intercept]",3/1/2015,5/1/2015,Webb,2015,1Pre_Hunt,12,A,Harvested,Harvested,0
60192,"[60192,Intercept]",3/1/2015,4/26/2015,Webb,2015,2Hunt,55,A,Harvested,Harvested,0
60385,"[60385,Intercept]",3/1/2015,4/26/2015,Webb,2015,3Post_Hunt,63,A,Harvested,Harvested,0
60387,"[60387,Intercept]",3/1/2015,4/26/2015,Webb,2015,2Hunt,55,A,Harvested,Harvested,0
60744,"[60744,Intercept]",3/1/2016,4/10/2016,Webb,2016,2Hunt,39,A,Harvested,Harvested,0
60760,"[60760,Intercept]",3/1/2016,4/7/2016,Webb,2016,2Hunt,36,A,Harvested,Harvested,0
60916,"[60916,Intercept]",3/1/2016,5/1/2016,Webb,2016,2Hunt,60,A,Harvested,Harvested,0
46105,"[46105,Intercept]",3/1/2017,5/1/2017,Webb,2017,3Post_Hunt,69,J,Harvested,Harvested,0
139,"[139,Intercept]",3/1/2014,3/25/2014,Webb,2014,1Pre_Hunt,23,A,Predated,Predated,0
46103,"[46103,Intercept]",3/1/2017,NA,Webb,2017,3Post_Hunt,145,J,Live,NA,1
46104,"[46104,Intercept]",3/1/2017,4/12/2018,Webb,2017,2Hunt,47,J,Live,Harvested,1
147,"[147,Intercept]",3/1/2014,5/29/2014,Webb,2014,3Post_Hunt,87,A,Predated,Predated,0
46108,"[46108,Intercept]",3/1/2017,4/17/2017,Webb,2017,2Hunt,46,A,Predated,Predated,0
46107,"[46107,Intercept]",3/1/2017,3/22/2019,Webb,2017,2Hunt,40,J,Live,Harvested,1
60750,"[60750,Intercept]",3/1/2016,5/28/2016,Webb,2016,3Post_Hunt,91,A,Predated,Predated,0
46109,"[46109,Intercept]",3/1/2017,3/21/2018,Webb,2017,2Hunt,40,J,Live,Harvested,1
46110,"[46110,Intercept]",3/1/2017,NA,Webb,2017,2Hunt,40,J,Live,NA,1
46111,"[46111,Intercept]",3/1/2017,NA,Webb,2017,3Post_Hunt,150,J,Live,NA,1
46112,"[46112,Intercept]",3/1/2017,NA,Webb,2017,2Hunt,49,J,Live,NA,1
60766,"[60766,Intercept]",3/1/2016,3/21/2016,Webb,2016,1Pre_Hunt,21,A,Predated,Predated,0
46114,"[46114,Intercept]",3/1/2017,NA,Webb,2017,2Hunt,49,J,Live,NA,1
60769,"[60769,Intercept]",3/1/2016,6/3/2016,Webb,2016,3Post_Hunt,91,A,Predated,Predated,0
46116,"[46116,Intercept]",3/1/2017,NA,Webb,2017,3Post_Hunt,131,J,Live,NA,1
61237,"[61237,Intercept]",3/1/2018,3/15/2018,Webb,2018,1Pre_Hunt,13,A,Predated,Predated,0
46182,"[46182,Intercept]",3/9/2017,NA,Webb,2017,1Pre_Hunt,27,J,Live,NA,1
